*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=speeduino pro NA6
*Date=14:02:53
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
145;;;88.7984;-84.5695;0;Bottom;Copper Fill413
146;;THT;60.7362;-56.592;0;Bottom;J72
147;;;90.7288;-79.9086;0;Bottom;Copper Fill243
148;;;50.419;-18.5295;0;Bottom;Copper Fill504
149;;;30.48;-84.9886;0;Bottom;Copper Fill233
150;;;25.1968;-15.291;0;Bottom;Copper Fill411
151;;;41.7068;-65.4814;0;Bottom;Copper Fill268
152;;;90.5811;-10.8721;0;Bottom;Via44
153;;;33.1724;-19.1899;0;Bottom;Copper Fill202
154;;;48.1076;-75.2096;0;Bottom;Copper Fill248
155;;;51.8668;-62.9414;0;Bottom;Copper Fill33
156;;;34.8488;-44.5899;0;Bottom;Copper Fill126
157;;THT;40.4162;-56.592;0;Bottom;J24
158;;;58.8311;-25.477;0;Bottom;Via54
159;;;47.5488;-75.6795;0;Bottom;Copper Fill208
160;;;75.2348;-19.3931;0;Bottom;Copper Fill522
161;;;19.4611;-94.0571;0;Bottom;Via68
162;;;46.0629;-44.1454;0;Bottom;Copper Fill166
163;;;29.5529;-44.1454;0;Bottom;Copper Fill121
164;;;23.9061;-12.7771;0;Bottom;Via69
165;;;46.1311;-44.527;0;Bottom;Via60
166;;;18.3388;-86.4999;0;Bottom;Copper Fill205
167;;;44.2468;-60.4014;0;Bottom;Copper Fill45
168;;;51.8414;-28.9816;0;Bottom;Copper Fill395
169;;;18.7833;-31.4454;0;Bottom;Copper Fill156
170;;;84.6074;-40.7799;0;Bottom;Copper Fill138
171;;;95.0214;-38.8114;0;Bottom;Copper Fill375
172;;SO16;77.2321;-78.1961;90;Bottom;DRV8825 Stepper
173;;;35.7124;-44.5899;0;Bottom;Copper Fill127
174;;THT;40.4162;-66.752;0;Bottom;J85
175;;THT;88.6762;-35.637;0;Bottom;SPI
176;;;59.4868;-57.8614;0;Bottom;Copper Fill66
177;;;16.7132;-52.0448;0;Bottom;Copper Fill358
178;;;31.5468;-57.8614;0;Bottom;Copper Fill55
179;;;19.3929;-93.6754;0;Bottom;Copper Fill454
180;;;95.0214;-74.3714;0;Bottom;Copper Fill250
181;;;95.5929;-12.0906;0;Bottom;Copper Fill528
182;;;36.6268;-55.3214;0;Bottom;Copper Fill72
183;;;72.1661;-16.5871;0;Bottom;Via74
184;;;27.2288;-43.0024;0;Bottom;Copper Fill368
185;;;36.6061;-22.302;0;Bottom;Via31
186;;;35.7378;-35.0395;0;Bottom;Copper Fill515
187;;;74.4474;-35.0395;0;Bottom;Copper Fill426
188;;;34.0868;-60.4014;0;Bottom;Copper Fill41
189;;;53.5178;-19.4058;0;Bottom;Copper Fill400
190;;;89.2429;-85.014;0;Bottom;Copper Fill111
191;;;10.5918;-61.0618;0;Bottom;Copper Fill293
192;;THT;42.9562;-56.592;0;Bottom;J30
193;;;10.5664;-58.0646;0;Bottom;Copper Fill311
194;;;74.0029;-34.6204;0;Bottom;Copper Fill424
195;;;5.8928;-54.7499;0;Bottom;Copper Fill172
196;2.49k;0805 [SMD];20.3411;-37.542;180;Top;R1
197;1k;0805 [SMD];19.2405;-59.132;180;Top;R36
198;0.1µF;0805 [SMD, multilayer];20.3411;-35.002;180;Top;C1
199;0.01µF;0805 [SMD, multilayer];61.1262;-45.162;0;Top;C21
200;;;95.0214;-71.8314;0;Bottom;Copper Fill253
201;;;29.6211;-44.527;0;Bottom;Via40
202;;;77.5021;-91.6722;0;Bottom;IMG1
203;;;95.0214;-66.7514;0;Bottom;Copper Fill8
204;100k;0805 [SMD];38.5112;-74.617;90;Top;R20
205;;;49.3268;-62.9414;0;Bottom;Copper Fill286
206;;THT;40.4162;-64.212;0;Bottom;J22
207;;THT;35.3362;-51.512;0;Bottom;J9
208;;;61.9633;-42.4944;0;Bottom;Copper Fill434
209;;THT;50.5762;-56.592;0;Bottom;J48
210;1k;0805 [SMD];58.1962;-74.617;90;Top;R42
211;;;10.5918;-63.8558;0;Bottom;Copper Fill277
212;;THT;55.6562;-51.512;0;Bottom;J57
213;;SO;24.465;-24.207;-90;Top;IC1
214;;;82.5477;-7.25704;0;Bottom;TXT3
215;;;18.6944;-24.8414;0;Bottom;Copper Fill401
216;;;97.6122;-56.3628;0;Bottom;Copper Fill325
217;;THT;12.4762;-8.33196;90;Bottom;J86
218;100k;0805 [SMD];35.9712;-74.617;90;Top;R19
219;;;36.5633;-22.784;0;Bottom;Copper Fill139
220;;;18.9484;-49.0095;0;Bottom;Copper Fill437
221;;THT;60.7362;-59.132;0;Bottom;J73
222;10;0805 [SMD];18.5812;-23.572;0;Top;R45
223;;;72.1661;-19.7621;0;Bottom;Via73
224;;;79.9084;-15.3799;0;Bottom;Copper Fill211
225;;;51.689;-31.1914;0;Bottom;Copper Fill106
226;;;81.9912;-61.2396;0;Bottom;Copper Fill249
227;;;21.7424;-82.6899;0;Bottom;Copper Fill195
228;;;66.5054;-66.5502;0;Bottom;TXT7
229;;;59.4868;-60.4014;0;Bottom;Copper Fill307
230;;;51.8668;-62.9414;0;Bottom;Copper Fill287
231;;;19.2405;-43.1548;0;Bottom;Copper Fill492
232;;;56.9468;-55.3214;0;Bottom;Copper Fill339
233;;sj_2s;73.6593;-25.4775;0;Bottom;SJ1
234;;;16.9211;-73.102;0;Bottom;Via42
235;;;24.0284;-39.802;0;Bottom;Copper Fill373
236;;;35.2933;-44.1454;0;Bottom;Copper Fill125
237;1k;0805 [SMD];28.5961;-81.3569;180;Top;R14
238;;;20.8026;-59.8426;0;Bottom;Copper Fill294
239;;;56.9468;-57.8614;0;Bottom;Copper Fill323
