*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Teensy 3.5 Adaptor
*Date=09:44:27
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
163;;;89.9456;-7.11828;0;Bottom;TXT19
164;;;23.0632;-3.0324;0;Bottom;Copper Fill119
165;;;95.3262;-36.6239;0;Bottom;Copper Fill31
166;;;39.4903;-47.9272;-90;Bottom;TXT19
167;;;23.0632;-7.452;0;Bottom;Copper Fill93
168;;;64.1604;-6.3979;0;Bottom;Copper Fill261
169;;;48.9077;-10.2079;0;Bottom;Copper Fill312
170;;;26.7621;-47.0408;-90;Bottom;TXT19
171;;;93.9673;-6.6519;0;Bottom;Copper Fill123
172;;;98.5765;-37.8796;0;Bottom;TXT19
173;;;14.1732;-29.7024;0;Bottom;Copper Fill298
174;;;48.0568;-2.372;0;Bottom;Copper Fill323
175;;;77.4573;-19.0979;0;Bottom;Copper Fill111
176;;;71.8091;-22.0134;0;Bottom;Via1
177;;;72.8218;-31.582;0;Bottom;Copper Fill130
178;;;14.6591;-29.6334;0;Bottom;Via35
179;;;77.4573;-19.9869;0;Bottom;Copper Fill293
180;;;95.3262;-8.6839;0;Bottom;Copper Fill81
181;;;70.9168;-10.6524;0;Bottom;Copper Fill321
182;180k;0805 [SMD];55.2991;-6.38318;90;Top;R5
183;;;54.0004;-6.3979;0;Bottom;Copper Fill257
184;180k;0805 [SMD];52.7591;-6.38318;90;Top;R3
185;;;61.2569;-45.8965;-90;Bottom;TXT19
186;;;95.3262;-39.1639;0;Bottom;Copper Fill18
187;;;24.4348;-30.9089;0;Bottom;Copper Fill182
188;;;75.3872;-48.9429;0;Bottom;Copper Fill156
189;;;87.8332;-30.312;0;Bottom;Copper Fill89
190;;;81.1784;-19.4027;0;Bottom;Copper Fill234
191;;;98.6693;-30.2596;0;Bottom;TXT19
192;;;47.2694;-47.3935;0;Bottom;Copper Fill9
193;;;23.5077;-3.4769;0;Bottom;Copper Fill118
194;;;90.5256;-21.8157;0;Bottom;Copper Fill68
195;;;98.6693;-27.7761;0;Bottom;TXT19
196;;;51.4477;-11.0969;0;Bottom;Copper Fill131
197;;;34.6235;-9.47286;0;Bottom;TXT3
198;;;77.0128;-19.5424;0;Bottom;Copper Fill112
199;;;78.5368;-11.9224;0;Bottom;Copper Fill292
200;;;90.5138;-19.8406;0;Bottom;TXT19
201;;;54.9529;-27.6069;0;Bottom;Copper Fill95
202;;;95.3262;-44.2439;0;Bottom;Copper Fill170
203;;;11.0744;-43.3549;0;Bottom;Copper Fill163
204;;;63.8813;-45.8494;-90;Bottom;TXT19
205;;;24.4094;-40.5355;0;Bottom;Copper Fill176
206;;;36.8808;-37.4875;0;Bottom;Copper Fill27
207;;;43.7896;-47.8507;0;Bottom;Copper Fill3
208;;;70.5391;-10.5834;0;Bottom;Via34
209;;;23.5077;-7.8965;0;Bottom;Copper Fill273
210;;;52.5018;-35.2523;0;Bottom;Copper Fill188
211;;;95.3262;-49.3239;0;Bottom;Copper Fill13
212;;;1.7272;-23.3524;0;Bottom;Copper Fill302
213;;;98.6693;-25.2846;0;Bottom;TXT19
214;;;95.3262;-46.7839;0;Bottom;Copper Fill162
215;;;95.3262;-29.0039;0;Bottom;Copper Fill214
216;;;77.0128;-24.6224;0;Bottom;Copper Fill287
217;;;36.8808;-37.4875;0;Bottom;Copper Fill184
218;;;90.5138;-42.6718;0;Bottom;TXT19
219;;;95.631;-23.4413;0;Bottom;Copper Fill55
220;;;81.1022;-37.8685;0;Bottom;Copper Fill169
221;;;43.4086;-15.0339;0;Bottom;Copper Fill240
222;;;93.9673;-2.5879;0;Bottom;Copper Fill147
223;;;90.5138;-47.7707;0;Bottom;TXT19
224;180k;0805 [SMD];60.3791;-6.38318;90;Top;R9
225;;;98.7625;-12.5175;0;Bottom;TXT19
226;;;38.9128;-8.8617;0;Bottom;Copper Fill264
227;;;40.2844;-46.7585;0;Bottom;Copper Fill8
228;;;48.0568;-2.372;0;Bottom;Copper Fill145
229;;;27.1475;-25.9644;0;Bottom;TXT18
230;;;97.7773;-3.4769;0;Bottom;Copper Fill99
231;;;98.6693;-17.5975;0;Bottom;TXT19
232;;;71.1962;-27.8101;0;Bottom;Copper Fill215
233;;;69.4182;-23.6953;0;Bottom;Copper Fill218
234;;;77.0128;-19.5424;0;Bottom;Copper Fill294
235;180k;0805 [SMD];62.9191;-6.38318;90;Top;R11
236;;;77.0128;-24.6224;0;Bottom;Copper Fill105
237;;;26.7208;-24.2541;0;Bottom;Copper Fill50
238;330k;0805 [SMD];57.8392;-14.0032;-90;Top;R8
239;;;24.1808;-24.2541;0;Bottom;Copper Fill49
240;;;78.1591;-11.8534;0;Bottom;Via24
241;;;15.0368;-29.7024;0;Bottom;Copper Fill117
242;330k;0805 [SMD];50.2192;-14.0032;-90;Top;R2
243;;;58.8485;-48.0494;-90;Bottom;TXT19
244;;;47.9806;-21.1807;0;Bottom;Copper Fill225
245;;;97.7773;-2.5879;0;Bottom;Copper Fill100
246;330k;0805 [SMD];60.3792;-14.0032;-90;Top;R10
247;;;34.7726;-22.2221;0;Bottom;Copper Fill67
248;;;55.3212;-17.0659;0;Bottom;Copper Fill239
249;;;62.5094;-49.2985;0;Bottom;Copper Fill12
250;;;42.5704;-37.1573;0;Bottom;Copper Fill186
251;;;61.6204;-6.3979;0;Bottom;Copper Fill260
252;;;39.1922;-37.4875;0;Bottom;Copper Fill185
253;;;61.0141;-25.1884;0;Bottom;Via37
254;;;70.4977;-11.0969;0;Bottom;Copper Fill319
255;;;23.9268;-3.0324;0;Bottom;Copper Fill305
256;;;56.3085;-48.0494;-90;Bottom;TXT19
257;;;9.1694;-19.3773;0;Bottom;Copper Fill59
258;;;63.0936;-16.5579;0;Bottom;Copper Fill243
259;180k;0805 [SMD];57.8391;-6.38318;90;Top;R7
260;;;90.5138;-9.65828;0;Bottom;TXT19
261;;;95.3262;-23.9239;0;Bottom;Copper Fill223
262;;;95.3262;-21.3839;0;Bottom;Copper Fill226
263;;;77.6732;-11.9224;0;Bottom;Copper Fill108
264;;;51.4891;-10.5834;0;Bottom;Via13
265;;;51.2285;-48.0494;-90;Bottom;TXT19
266;;;78.9178;-32.9663;0;Bottom;Copper Fill70
267;;;54.5084;-27.1624;0;Bottom;Copper Fill97
268;;;41.4782;-37.4367;0;Bottom;Copper Fill30
269;;;29.2608;-37.4875;0;Bottom;Copper Fill24
270;;;62.103;-24.0001;0;Bottom;Copper Fill41
271;;;78.1177;-11.4779;0;Bottom;Copper Fill107
272;;;77.4573;-25.0669;0;Bottom;Copper Fill285
273;;;95.631;-15.8467;0;Bottom;Copper Fill74
274;;;69.215;-31.8741;0;Bottom;Copper Fill211
275;;;95.3262;-8.6839;0;Bottom;Copper Fill263
276;;;7.8994;-43.9899;0;Bottom;Copper Fill160
277;;;53.4924;-11.3001;0;Bottom;Copper Fill83
278;;;59.6138;-22.2475;0;Bottom;Copper Fill224
279;;;97.3074;-7.452;0;Bottom;Copper Fill310
280;;;65.5574;-16.2531;0;Bottom;Copper Fill244
281;;;77.4573;-19.9869;0;Bottom;Copper Fill110
282;;;77.9018;-19.5424;0;Bottom;Copper Fill295
283;;;78.1177;-12.3669;0;Bottom;Copper Fill289
284;;;98.6693;-20.1284;0;Bottom;TXT19
285;;;96.5073;-6.6519;0;Bottom;Copper Fill309
286;;;95.3262;-41.7039;0;Bottom;Copper Fill175
287;;;14.859;-42.3897;0;Bottom;Copper Fill168
288;;;95.3262;-34.0839;0;Bottom;Copper Fill208
289;;;95.3262;-39.1639;0;Bottom;Copper Fill181
290;;;19.1008;-24.2541;0;Bottom;Copper Fill47
291;;;27.9908;-30.9089;0;Bottom;Copper Fill19
292;;;31.9549;-47.6956;-90;Bottom;TXT19
293;;;46.5328;-21.5109;0;Bottom;Copper Fill230
294;;;95.3262;-44.2439;0;Bottom;Copper Fill15
295;180k;0805 [SMD];67.9991;-6.38318;90;Top;R15
296;;;36.8841;-8.04335;0;Bottom;Via6
297;;;90.5138;-29.9718;0;Bottom;TXT19
298;;;74.4474;-34.5919;0;Bottom;Copper Fill205
299;;;95.3262;-49.2223;0;Bottom;Copper Fill154
300;;;36.8841;-6.77335;0;Bottom;Via8
301;;;89.5858;-25.6511;0;Bottom;Copper Fill40
302;;;73.4568;-31.3407;0;Bottom;Copper Fill213
303;;;90.8304;-19.9107;0;Bottom;Copper Fill71
304;;;61.6077;-10.2079;0;Bottom;Copper Fill318
305;;;98.6693;-48.0586;0;Bottom;TXT19
306;;;82.042;-25.0415;0;Bottom;Copper Fill221
307;;;12.9794;-36.5477;0;Bottom;Copper Fill197
308;;;37.0349;-47.6956;-90;Bottom;TXT19
309;;;66.0908;-50.6955;0;Bottom;Copper Fill153
310;;;55.372;-27.1624;0;Bottom;Copper Fill98
311;;;23.9268;-7.452;0;Bottom;Copper Fill276
312;;;97.8441;-2.96335;0;Bottom;Via27
313;;;32.6898;-45.7933;0;Bottom;Copper Fill5
314;;;29.4894;-39.9005;0;Bottom;Copper Fill178
315;;;26.924;-21.2823;0;Bottom;Copper Fill64
