*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=NA Miata 48 pin
*Date=13:46:07
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
139;;THT;26.6597;-41.5816;0;Bottom;2H
140;;;10.0965;-74.1936;0;Bottom;Copper Fill29
141;;THT;22.2523;-13.562;-90;Bottom;2Y
142;;THT;22.2523;-17.0616;-90;Bottom;2W
143;;;5.6896;-34.5696;0;Bottom;Copper Fill14
144;;THT;26.7538;-72.4381;0;Bottom;1L
145;;;3.429;-8.2552;0;Bottom;Copper Fill72
146;;THT;26.7538;-84.5736;0;Bottom;1D
147;;;3.6068;-16.6372;0;Bottom;Copper Fill70
148;;;2.9718;-23.9778;0;Bottom;Copper Fill62
149;;THT;26.6597;-44.5921;0;Bottom;2F
150;;;5.6896;-19.3296;0;Bottom;Copper Fill21
151;;;5.6896;-59.5886;0;Bottom;Copper Fill4
152;;;5.6896;-52.3496;0;Bottom;Copper Fill7
153;;THT;26.6832;-51.1772;0;Bottom;2B
154;;;26.6065;-52.121;0;Bottom;Copper Fill36
155;;;5.6896;-54.8896;0;Bottom;Copper Fill6
156;;THT;22.2147;-38.548;0;Bottom;2I
157;;;5.6896;-29.4896;0;Bottom;Copper Fill61
158;15k;THT;22.838;-7.28003;180;Bottom;R1
159;;;5.6896;-19.3296;0;Bottom;Copper Fill68
